title,description,image,type,rating,year
Jake and the Fatman,"Jake and the Fatman is a television crime drama starring William Conrad as prosecutor J. L. ""Fatman"" McCabe and Joe Penny as investigator Jake Styles.

The series ran on CBS for five seasons from 1987 to 1992. Diagnosis: Murder was a spin-off of this series. Genres: Drama, Crime, Action & Adventure.",https://image.tmdb.org/t/p/w500/3WBkepiTwgemGDZadyJTV5SmS4l.jpg,TV,6.185,1987
Hello Carbot,"An unexpected package is delivered to a school boy, Chatan. Chatan opens the box, but there is only an ordinary toy cube inside. However, as soon as Chatan touches the cube, a car-transformation robot appears. Genres: Kids, Animation, Sci-Fi & Fantasy, Action & Adventure.",https://image.tmdb.org/t/p/w500/mRyfvMzwBplfiL9C2ItG5RYViLr.jpg,TV,0.0,2014
Corazon Valiente,"Angela and Samantha were best friends when they were little, but a trap of fate separated them for many years. An unmissable story of loyalty, friendship, courage and love. Genres: Soap, Drama, Action & Adventure.",https://image.tmdb.org/t/p/w500/4YWuiRyqnfalauuFC06S5yw92gH.jpg,TV,7.7,2012
Yuri Is My Job!,"Worried about her reputation, Hime covers shifts for a cafe manager she accidentally injures to maintain her picture-perfect princess image. But this cafe has a peculiar theme—private school. To put on her best barista schoolgirl act, she’ll be trained by the most graceful girl there, Mitsuki. Under her guidance, Hime’s feelings start to brew, but there’s just one problem—Mitsuki can’t stand her! Genres: Animation, Comedy, Drama.",https://image.tmdb.org/t/p/w500/z35BRoqjMpcVmQmDTx2xh5twQoi.jpg,TV,6.234,2023
Hilda Hurricane,"After breaking off her engagement on her wedding day and going directly to a prostitution house, a young model becomes the city's most famous harlot, known as ""Hilda Hurricane"", in the 50's Brazil. She could do fine if it wasn't for Malthus, a young novice said to be a saint, for whom she falls in love. However, the boy is kept under the strict, severe doctrine of Father Nelson, a conservative priest intolerant even to every minor sin. Things start getting harder when Roberto, Malthus' old friend and a communist reporter (the actual author of the story), tries to interview Hilda and disclosure the real reasons behind her radical change of mind. In the meantime, the middle-classes are terrified by the ""leftist threat"" in Brazilian politics. Genres: Drama, War & Politics, Soap.",https://image.tmdb.org/t/p/w500/xJgDZQDscZpQ5JJ2Ms9QOYoIEk9.jpg,TV,8.1,1998
Stern TV,"Current studio guests, exciting backgrounds, moving stories, spectacular studio events and captivating reports - presenters pull all this and much more live from the grab bag of German television every week. Genres: Talk.",https://image.tmdb.org/t/p/w500/6tPkHmACFVvs6PHjPQ7zQ5cdxBK.jpg,TV,6.5,1990
Dear Uge,"Urbana Genoveva Esperanza hosts a web show titled as Dear Uge where she features love stories. In the show, she also have a feeling charming sidekick, Devine. Genres: Comedy.",https://image.tmdb.org/t/p/w500/n4ovkQNC0ETBYAnO04kuc60Z9jU.jpg,TV,0.0,2016
Chained Soldier,"Destructive monsters from the Mato dimension threaten the earth, while women gifted with powers from Peaches try to stop them. But to save the world, Yuuki must be willing to become Chief Kyoka's servant both on the battlefield and at home. Genres: Animation, Action & Adventure, Sci-Fi & Fantasy.",https://image.tmdb.org/t/p/w500/9SFBctEZE0X4t1A2q16MC7EJrsC.jpg,TV,7.968,2024
Mad About You,"Young, urban newlyweds Paul and Jamie Buchman try to sustain their marital bliss while sidestepping the hurdles of love in the '90s. Genres: Comedy.",https://image.tmdb.org/t/p/w500/vvnslQjc1LnERuroGVh8bPdBi2r.jpg,TV,6.742,1992
Simple Truths,"A youth TV novel about school life. The situations that the characters find themselves in are familiar to every teenager, and the problems that the characters are trying to solve are of concern to everyone: how to deal with unrequited love (and is it necessary?), how to resolve a conflict with teachers or classmates, how to find a common language with parents, how to skip a physical education lesson, how, finally, to wipe the two in the diary without consequences for school life. Genres: Drama, Comedy.",https://image.tmdb.org/t/p/w500/tThG3ymnKNDu1ZUC8csmgDAxC88.jpg,TV,5.5,1999
Only Connect,"The fiendishly difficult quiz show in which two teams of three contestants have to find the connection between seemingly unrelated clues, where patience and lateral thinking are as vital as knowledge. Genres: Reality.",https://image.tmdb.org/t/p/w500/mCS6E8Ca5RYthdYpz1j72Tr5AKD.jpg,TV,6.4,2008
Swordsman With the Torn Umbrella,"Set in the Edo period,  Kanou Toshu studied medicine in Nagasaki and lives on the outskirts of Senju-juku . He is also a master of the Mugai Ryu sword style. Although he has skills in medicine, he is also a big drinker and often drinks all day and falls asleep, or drinks at night and does not go home. He does not charge for treatment and medicine costs from poor patients such as tradesmen and farmers, but occasionally he'll buy their produce or drink with them. When he senses injustice by the rich and powerful, he takes matters into his own hands and doles out justice as he sees fit. Genres: Action & Adventure.",https://image.tmdb.org/t/p/w500/jwvHnF3neAtoTyDX5C8G47M6XSs.jpg,TV,10.0,1974
How It's Made,"Have you ever wondered how the products you use every day are made? How It's Made leads you through the process of how everyday products, such as apple juice, skateboards, engines, contact lenses, and many more objects are manufactured. Genres: Documentary.",https://image.tmdb.org/t/p/w500/jO3DKZyiEWQsEE6ji7IXwobDnl8.jpg,TV,7.613,2001
Leave It to Beaver,"An inquisitive and often naïve boy, Theodore 'The Beaver' Cleaver, has adventures at home, in school, and around his suburban neighborhood. The show also starred Barbara Billingsley and Hugh Beaumont as Beaver's parents, June and Ward Cleaver, and Tony Dow as Beaver's brother Wally. The show has attained an iconic status in the US, with the Cleavers exemplifying the idealized suburban family of the mid-20th century. Genres: Comedy, Family.",https://image.tmdb.org/t/p/w500/1Tl9FH0gFmaFDyW4J3eAowMwt8O.jpg,TV,6.9,1957
Patiala Babes,"Mini, a young girl, encourages her traditional mother, Babita, to realise her worth and fulfil her dreams. Genres: Drama.",https://image.tmdb.org/t/p/w500/tqUw97o2fPLTWMHV6k6BS5pugBm.jpg,TV,7.0,2018
The Masked Singer,"Celebrities compete in a singing competition with one major twist: each singer is shrouded from head to toe in an elaborate costume, complete with full face mask to conceal his or her identity. One singer will be eliminated each week, ultimately revealing his or her true identity. Genres: Reality.",https://image.tmdb.org/t/p/w500/sT0TpxenCsghbRZ7NiEJg2ubzZx.jpg,TV,7.5,2019
Armed Reaction,"Armed Reaction is a 1998 Hong Kong modern cop drama produced by TVB. The drama stars Bobby Au-yeung and Esther Kwan as the main leads with Joyce Tang, Marco Ngai, Mimi Chu and Joe Ma in main supporting roles.

The drama takes place before 1997 Handover of Hong Kong and Royal Hong Kong Police revolves around the lives of two police woman, one who works leisurely behind desk duty but has to take her job more seriously once her husband leaves her and a new rookie cop who is deemed too ambitious and rash by her superior. Genres: Comedy, Crime, Drama.",https://image.tmdb.org/t/p/w500/bwxryiak9cc4hrZypUF4kw81muF.jpg,TV,8.2,1998
The Man in the High Castle,"Explore what it would be like if the Allied Powers had lost WWII, and Japan and Germany ruled the United States. Based on Philip K. Dick's award-winning novel. Genres: Sci-Fi & Fantasy, Drama.",https://image.tmdb.org/t/p/w500/xhoDZbMNeyCA0BGPZQsdIiO43Dp.jpg,TV,7.529,2015
Casi Ángeles,"A group of kids is abused and exploited, but everything changes with Cielo and Nico. A story full of music, songs, choreography and competitions. Genres: Comedy, Drama, Mystery, Sci-Fi & Fantasy, Soap.",https://image.tmdb.org/t/p/w500/vXFts2oyWQTa0fESRZ8uQjVsr1Q.jpg,TV,7.3,2007
Childrens Hospital,"A hospital isn't a place for lazy people. It's a place for smart people who take care of people who aren't smart enough to keep themselves healthy. So begins Children's Hospital, a parody series that follows the lives, loves and laughs of a hospital staff. Genres: Comedy.",https://image.tmdb.org/t/p/w500/bbnXmarKkuxde9kkeyjAPzZY6Od.jpg,TV,6.896,2008
The Kitchen,"Spend a fun and food-filled morning in The Kitchen with hosts Sunny Anderson, Katie Lee, Jeff Mauro, Marcela Valladolid, and Geoffrey Zakarian. From simple supper ideas, food trend discussions, and family meal tips to trivia games and viewer questions, they'll cover all things fun in food. Genres: Reality, Family, Talk, Drama.",https://image.tmdb.org/t/p/w500/G2PN9AnF4DqQVenuFabUqtW4hS.jpg,TV,4.844,2014
A Impostora,"An airplane disappears mysteriously; on board was Verónica, the twin sister of Vitória, the victim of a fraud by a millionaire. Presumed dead, Verónica assumes the identity of her sister and plans to avenge herself on the entrepreneur's family. Genres: Drama, Soap.",https://image.tmdb.org/t/p/w500/yLtLTnivr3CwnBwKW7E7008u363.jpg,TV,8.0,2016
FBI: International,"Follows the elite agents of the FBI's International Fly Team headquartered in Budapest as they travel the world with the mission of protecting Americans wherever they may be. Genres: Crime, Drama.",https://image.tmdb.org/t/p/w500/1Ublm6D8zmqMroqrXkn3Fgd353q.jpg,TV,7.6,2021
The First 48,"The First 48 follows detectives from around the country during these first critical hours as they race against time to find the suspect. Gritty and fast-paced, it takes viewers behind the scenes of real-life investigations with unprecedented access to crime scenes, autopsies, forensic processing, and interrogations. Genres: Documentary, Drama, Crime.",https://image.tmdb.org/t/p/w500/i6bSut4XPepaJ5VC6oG303iGKQU.jpg,TV,7.9,2004
Güldür Güldür Show,"Güldür Güldür Show, which has won the admiration of everyone with its legendary cast, continues to bring a new approach to many topics from family to love, fame to technology, football to friendship with its unique sense of humour. Genres: Reality, Comedy, Talk.",https://image.tmdb.org/t/p/w500/A4PuQEG2XSJxQVks4l3Ox83Dnde.jpg,TV,8.3,2013
Detective Academy,"""Detective College"", as a derivative of the fifth season of ""Who's the Murderer"", is a star reasoning variety show where selected detective assistants launched by Mango TV. The star guests determine the number of advances by rolling the dice on the checkerboard. When the game is triggered, the corresponding game needs to be completed. The first guest to reach the end becomes the current No.1. The program combines the form of team battles and individual battles to inspire the star guests ’IQ and Contest of logical ability. No. 1 selected in the show will appear on the scene of the fifth season of ""Who's the Murderer"". ""Detective College"" consists of Pu Yixing, Zhou Junwei, Tang Jiuzhou, Qi Sijun, Shi Kai, Guo Wentao, Shao Mingming, etc., and premiered on November 3, 2019. Genres: Reality, Mystery.",https://image.tmdb.org/t/p/w500/wuUvhZ2WLqX1z0b1NXkapWoov9j.jpg,TV,7.3,2019
Amazing Detective Di Renjie,"Di Renjie is Tang dynasty magistrate and statesman, who investigates mysterious murders. Genres: Drama, Mystery.",https://image.tmdb.org/t/p/w500/k8wy69p8DDdfzuCmWwowddBN3Ne.jpg,TV,9.0,2004
Nash Bridges,"Fun-loving San Francisco Police Department investigator Nash Bridges is part of the elite Special Investigations Unit. He tackles crime using his keen sense of humor and charm. Joe Dominguez comes out of retirement to become Bridges' wisecracking yet more rule-abiding partner. Genres: Action & Adventure, Drama.",https://image.tmdb.org/t/p/w500/hJeHSCFoxWN2Pt2lg56CKOi9g87.jpg,TV,6.562,1996
The Guns of Will Sonnett,"Ex-cavalry scout and gunfighter Will Sonnett and his grandson, Jeff, search the West for Will's son—and Jeff's father—Jim Sonnett, a former lawman and gunslinger, who has avoided seeing his son in order to keep him away from the assortment of killers and bounty hunters who are after him. Genres: Western.",https://image.tmdb.org/t/p/w500/tYBhVtsD3gTrflZ5qkkvUXOsHlH.jpg,TV,6.3,1967
Festa é Festa,"A village in the interior of Portugal is preparing the best village festival ever, in the year that marks the centenary of its greatest benefactor. Everyone does their best in organizing the party always with something in mind: the inheritance of the elderly woman. Genres: Soap, Comedy.",https://image.tmdb.org/t/p/w500/rlQlfiBR0zY1ucBIvB2neYUVfFP.jpg,TV,6.8,2021
Solitary Gourmet,"Centered around typical Japanese food, a solitary salesman travelling through the country for business purposes, eats at its various establishments and experiences the various delicacies of Japanese cuisine. Genres: Drama.",https://image.tmdb.org/t/p/w500/3DEWsJv0OxHON7AEy4Us6m3e7fS.jpg,TV,8.9,2012
Blindspot,"A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed. Genres: Crime, Drama, Action & Adventure.",https://image.tmdb.org/t/p/w500/4AeYzamQmd9Fa6hawDmYKbdvBSe.jpg,TV,7.375,2015
Hanako & Anne,A Japanese girl from a poor family named Hanako went on an adventure to study in a girl's Christian school in Tokyo. She found her passion in English and step by step made her dream come true. Genres: Drama.,https://image.tmdb.org/t/p/w500/dELxyHX6Z4jD5AYBAQRnKkteSJJ.jpg,TV,7.3,2014
Soccer AM,"Soccer AM is a British Saturday-morning football-based comedy/talk show, predominantly based around the Premier League. Originally presented by Jane Hoffen, Gary Stevens and Russ Williams, they lasted just a year before Helen Chamberlain and Tim Lovejoy replaced them, where Lovejoy served for over a decade. He has since been replaced by Andy Goldstein and, more recently, Max Rushden. The show has been aired on Sky Sports 2 each Saturday morning of the football season since 1995 from 7:00am or 9:00am to noon originally and currently between 10:00am and 12:00pm. In early 2009, the 500th episode was broadcast. Although the show is filmed live from 2010 it has been broadcast on a momentary delay due to bad language and/or inappropriate content from certain guests.

The show's current sponsor is Procter & Gamble through their Head & Shoulders brand. The show was previously sponsored by Frijj, a brand of milkshake, after Dairy Crest signed a £2 million sponsorship deal.

Parts of the show have remained since the beginning, whilst new items have been introduced each season. In that respect, it is almost the same every week, the difference being new football footage and comedy skits. Every week sees a new group of celebrity guests, generally featuring at least one footballer who is free on the Saturday, and a mix of musicians, TV personalities, and other sportsmen. Genres: Comedy, Talk.",https://image.tmdb.org/t/p/w500/eGJPC5WBy18kMo28Rky3fe1FBjs.jpg,TV,6.3,1995
Theatre 625,"Theatre 625 is a British television drama anthology series, produced by the BBC and transmitted on BBC2 from 1964 to 1968. It was one of the first regular programmes in the line-up of the channel, and the title referred to its production and transmission being in the higher-definition 625-line format, which only BBC2 used at the time. Genres: Drama.",https://image.tmdb.org/t/p/w500/dfNZWvjxw0HN5rZXvYzzb2UvsDW.jpg,TV,7.2,1964
Fire Country,"Seeking redemption and a shortened prison sentence, young convict Bode Donovan joins a firefighting program that returns him to his small Northern California hometown, where he and other inmates work alongside elite firefighters to extinguish massive blazes across the region. Genres: Drama, Crime.",https://image.tmdb.org/t/p/w500/6XnA02VRG4dhBpTZWGZuXQdYGDW.jpg,TV,8.049,2022
Jornal Nacional,"Jornal Nacional is a Brazilian Emmy-winning primetime news program aired by Rede Globo since September 1, 1969. It was the first news program broadcast live by a television network throughout Brazil. Genres: News.",https://image.tmdb.org/t/p/w500/59iVuixNWRgtkT1aN8BR9RrJOBR.jpg,TV,7.0,1969
Cow and Chicken,"Follows the surreal adventures of a cow, named Cow, and her chicken brother, named Chicken. They are often antagonized by ""The Red Guy"", who poses as various characters to scam them. Genres: Animation, Comedy, Kids.",https://image.tmdb.org/t/p/w500/4g2S0elo7NtFEhI1VsiXWQryfiA.jpg,TV,7.1,1997
Kevin (Probably) Saves the World,"One day while returning home to stay with his widowed twin sister and her daughter, Kevin Finn, a self-centered man whose life brings him more trouble than he bargained for, is recruited by a celestial being named Yvette, who enlists Kevin with a new purpose in his life, which is to save the world. Genres: Sci-Fi & Fantasy, Comedy, Drama.",https://image.tmdb.org/t/p/w500/k3uUik3FsGN3sn4g8pXseRwdRSp.jpg,TV,6.9,2017
Shrouding the Heavens,"The story took the nine dragons and the coffin as an introduction and brought out a huge world of primeval ages. Climbing the sky road, and singing songs, to see how Ye Fan shrouding the heavens. Genres: Animation, Action & Adventure, Drama.",https://image.tmdb.org/t/p/w500/z9JNGlJ8eGy6S6SOlBhpmxjjXGT.jpg,TV,8.9,2023
A Shop for Killers,"A niece who lost her parents and grew up in the hands of an uncle who runs a shopping mall faces a new truth after her uncle's sudden death. Genres: Drama, Action & Adventure, Mystery.",https://image.tmdb.org/t/p/w500/7yUY1HUyQuybbvkAAhLzQ7x1l9g.jpg,TV,8.335,2024
Who's the Boss?,"A former professional baseball player, along with his preteen daughter, moves into New York advertising executive Angela Bower's house to be both a housekeeper and a father figure to her young son. Tony 's laid-back personality contrasts with Angela's type-A behavior. Genres: Comedy.",https://image.tmdb.org/t/p/w500/i3hAGT3LICZ1OyNvHUV93zfXi2O.jpg,TV,7.351,1984
My Siblings,"Kardeşlerim follows four orphaned siblings struggling to survive after losing their parents. Thrown into poverty and hardship, they rely on each other while navigating school, work and dangerous social divides in Istanbul. As they face betrayal, love and injustice, powerful enemies repeatedly threaten their fragile stability. Blending emotional family drama with romance and conflict, the series explores loyalty, sacrifice and resilience in the face of constant adversity. Genres: Family, Drama.",https://image.tmdb.org/t/p/w500/p2wOxI0GAlckcgoGF14r31dYiPr.jpg,TV,7.5,2021
Eureka,"The sleepy Pacific Northwest town of Eureka is hiding a mysterious secret. The government has been relocating the world's geniuses and their families to this rustic town for years where innovation and chaos have lived hand in hand. U.S. Marshal Jack Carter stumbles upon this odd town after wrecking his car and becoming stranded there. When the denizens of the town unleash an unknown scientific creation, Carter jumps in to try to restore order and consequently learns of one of the country's best kept secrets. Genres: Sci-Fi & Fantasy, Comedy, Drama.",https://image.tmdb.org/t/p/w500/f2l5hUk63hPqYTucnFy2HmElFV0.jpg,TV,7.74,2006
Mind Our Own Business,"The frugal and harsh father, CHENG SAM, and the open-minded and generous mother, LEUNG HANG MUI, are a lively couple in the family. Other family members include their lazy and rude son, YUEN YUK PO; their optimistic and irresponsible daughter, YUEN YUET CHU; their defiant and domineering daughter-in-law, HO SHUK KIANG, and their honest and confident son-in-law, YEUNG JO GAI. Their granddaughter, MUN HEI, is a free-spirited girl while their grandson, MUN CHOI, is a cunning and opportunistic businessman. The family's fortunes are tied to their partners, CHU CHI WAH and CHAN WING MAN. Together, they form a tapestry of modern urban life. Genres: Family, Soap.",https://image.tmdb.org/t/p/w500/ote6nMem0bXPr96d48YVUyStlcA.jpg,TV,0.0,1993
Insecure,"Follows the awkward experiences and racy tribulations of a modern-day African-American woman. Genres: Comedy, Drama.",https://image.tmdb.org/t/p/w500/sGMwPIE6m9QI3LzCRXnZG8opZtB.jpg,TV,7.139,2016
High Kick,"High Kick! was a popular South Korean situation comedy revolving around the life of the Lee family, taking place in Seoul at the same time as the broadcast. The title of the show ""High Kick!"" has several implications, one of which is the oft-depicted high kicks of Yoon-ho, one of the main characters. The show aired in South Korea from Monday to Friday in sitcom format. Due to its popularity, the show filmed more episodes than were initially planned. Many of the characters starred in commercials and advertisements in Korea. The show's popularity also led to High Kick Through the Roof, which aired in 2009-2010, and High Kick 3: The Counterattack of the Short Leg, which aired in 2011-2012. Genres: Reality, Talk.",https://image.tmdb.org/t/p/w500/2p9ZBFn6TJGN2bci4DymhngEaeS.jpg,TV,8.6,2006
Foyle's War,"As WW2 rages around the world, DCS Foyle fights his own war on the home-front as he investigates crimes on the south coast of England. Foyle's War opens in southern England in the year 1940. Later series sees the retired detective working as an MI5 agent operating in the aftermath of the war. Genres: Mystery, Drama, War & Politics, Crime.",https://image.tmdb.org/t/p/w500/dNqHn5UCoa2vodPv5g1nfQE89R4.jpg,TV,7.861,2002
Alma Indomable,"Alma Indomable is a telenovela produced and distributed by Venevisión International. Filming took place in Miami, Florida. It premiered on Univision on October 19, 2009 in the 1/12c timeslot. The telenovela was written by Alberto Gomez and stars: Scarlet Ortiz, José Ángel Llamas as the protagonists and Lilibeth Morillo and Luis José Santander as the antagonists. Genres: Drama, Soap.",https://image.tmdb.org/t/p/w500/uYwNYEVm6VGH8hUZdwjNUn0PTiF.jpg,TV,2.0,2009
The Golden Girls,"Four Southern Florida seniors share a house, their dreams, and a whole lot of cheesecake. Bright, promiscuous, clueless and hilarious, these lovely, mismatched ladies form the perfect circle of friends. Genres: Comedy.",https://image.tmdb.org/t/p/w500/1qoHn5J0Qclte98j1olNbOQOXVz.jpg,TV,7.58,1985
Puppy Dog Pals,"Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe. Genres: Animation, Kids, Family, Comedy, Drama.",https://image.tmdb.org/t/p/w500/Aa6Bo1lcuFxT3D1twy7DVX7pY03.jpg,TV,5.7,2017
Star of the Giants,"In 1969, at the press conference of Nagashima Shigeo who was joining a professional baseball team, Yomiurhi Kyojin, a ball was thrown at him by a boy. He was Hoshi Hyuma, and a thrown ball meant a letter of challenge. His father, Hoshi Ittetsu, had trained Huma since he had been very young to achieve his dream to make him a professional baseball player. Genres: Action & Adventure, Animation.",https://image.tmdb.org/t/p/w500/3AvF4Z6v9ScbwCGDKKGfGSF5xU2.jpg,TV,7.8,1968
The Secret Life of the American Teenager,"Amy and her friends at Grant High learn to define themselves while they navigate the perilous waters of contemporary adolescence. Between their love triangles, secrets, drama, accusations, gossip, confusion, and scandalous rumors, there's never a dull moment. Genres: Drama, Comedy.",https://image.tmdb.org/t/p/w500/k2XTj9D0tzca3dSgvVojU9xk8F5.jpg,TV,6.837,2008
Veep,"A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about. Genres: Comedy, War & Politics.",https://image.tmdb.org/t/p/w500/cdd78fGdaA3EbK2ToZRWcaaB1fx.jpg,TV,7.492,2012
All-American Girl,The very Westernized Margaret Kim is a San Francisco hipster delightfully at odds with her traditional-but-screwy Korean family. Genres: Comedy.,https://image.tmdb.org/t/p/w500/kSk299r1Ug0XqVfOSN9V9JuJwGQ.jpg,TV,8.0,1994
Hart to Hart,"Wealthy couple Jonathan and Jennifer Hart, a self-made millionaire and his journalist wife, moonlight as amateur detectives. Genres: Action & Adventure, Crime, Mystery.",https://image.tmdb.org/t/p/w500/rK7eHDVQVYwwuxf91rmSNn6ykQn.jpg,TV,6.841,1979
Studio One,"An American radio–television anthology series, created in 1947 by Canadian director Fletcher Markle, who came to CBS from the CBC. Studio One, presented by Westinghouse, was one of the first of the anthology TV programs. The episodes were often abridged remakes of movies from years gone by and many future well-known television and movie actors appeared in the productions. Genres: Drama.",https://image.tmdb.org/t/p/w500/rTauMq9Zi9KM2gGzX0qO80JoBmS.jpg,TV,5.385,1948
Family Ties,"Former 1960s flower children Steven and Elyse Keaton raise their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew. Genres: Comedy, Drama, Family.",https://image.tmdb.org/t/p/w500/vxERANdozlMKgl7VqGxbAvZ6u1O.jpg,TV,7.216,1982
Wednesday Downtown,"Everybody has theories that they personally cling blindly to regardless of proof or scientific validity. In this entertaining information program, a host of celebrities present their cases for pet theories to studio guests by any means be it academic argument or laughably “out there” logic. Can their theories gain acceptance? Or will they be discarded as pop science that only adds confusion to the world? Find out through exhaustive examination including on-location experiments! Genres: Comedy.",https://image.tmdb.org/t/p/w500/4SIcKW4NFyDhscxLU2dsndaUnUw.jpg,TV,8.0,2014
Chuhai Lips: Canned Flavor of Married Women,"The omnibus manga centers on college student Tsuyoshi, who loves drinking strong canned chu-hai, and his encounters with various married women. Genres: Animation, Comedy.",https://image.tmdb.org/t/p/w500/sVgDf52QbkKRYBXjM4Y2xQOr86X.jpg,TV,5.6,2025
A Touch of Frost,"Jack Frost is a gritty, dogged and unconventional detective with sympathy for the underdog and an instinct for moral justice who attracts trouble like a magnet. Despite some animosity with his superintendent, Norman “Horn-rimmed Harry” Mullett, Frost and his ever-changing roster of assistants manage to solve cases via his clever mind, good heart, and cool touch. Genres: Drama, Crime, Mystery.",https://image.tmdb.org/t/p/w500/dgpUNSkIWdU1i9vjc7MQPfGBFLo.jpg,TV,7.5,1992
Big Brother's Little Brother,"Each week, the housemate evicted from the Big Brother house the previous week traditionally spends another week on Big Brother's Little Brother, answering questions and taking part in Call BBLB along with other features. The show also boasts celebrity guests and experts who come in to discuss and analyse the remaining Big Brother housemates. Genres: Reality.",https://image.tmdb.org/t/p/w500/gM6dJDdkzcea55iT71pwjUauY3e.jpg,TV,6.0,2001
Tales of the Unexpected,"A British television anthology of stories, often with sinister and wryly comedic undertones, and a twist at the end. With early episodes written and presented by Roald Dahl, the series featured a plethora of big name guest stars. Genres: Drama.",https://image.tmdb.org/t/p/w500/vfG5gafbtxtfMvgDdNi56evx4Og.jpg,TV,6.8,1979
Baalveer,"Darkness is on the horizon as Baalveer faces his toughest enemies yet - one who has ended Baalveers across all the universes, and one within himself. Can he overcome the threat and save himself? Genres: Kids, Comedy, Sci-Fi & Fantasy.",https://image.tmdb.org/t/p/w500/vL6GVWgG5VGc3xfW4l4eFLLbuA8.jpg,TV,5.9,2012
Ultraman Tiga,"A high-tech squadron protects Earth from evil monsters and aliens with the help of a giant super-being named Ultraman Tiga. Genres: Sci-Fi & Fantasy, Action & Adventure, Drama.",https://image.tmdb.org/t/p/w500/lYvAiTqXFGuLqos0Wi7899scn6z.jpg,TV,8.107,1996
Behind the Music,An intimate look into the personal lives of pop music's greatest and most influential artists. Genres: Documentary.,https://image.tmdb.org/t/p/w500/pMnNFb6eFKF5edRh62Km2IqfdAG.jpg,TV,7.3,1997
Home Improvement,"The daily trials and tribulations of handyman Tim Taylor, a TV show host raising three boys with help from his loyal co-host, domineering wife, and unseen neighbor. Genres: Comedy.",https://image.tmdb.org/t/p/w500/aBBXL6YIYbUPBRAVYdEUW46oqsA.jpg,TV,7.378,1991
NWA World Championship Wrestling,"Showcasing incredible in-ring action and unforgettable interviews, this weekly television series features a who's who of WWE Hall of Famers. Genres: Action & Adventure.",https://image.tmdb.org/t/p/w500/pNnNRUp2WcwqceKcpL1LSxF5N8C.jpg,TV,0.0,1985
The Wheel of Time,"The lives of five young villagers change forever when a strange and powerful woman arrives, claiming one of them is the child of an ancient prophecy with the power to tip the balance between Light and Dark forever. They must choose whether to trust this stranger – and each other – with the fate of the world before the Dark One breaks out of His prison, and the Last Battle begins. Genres: Sci-Fi & Fantasy, Drama.",https://image.tmdb.org/t/p/w500/ihBi24EIr5kwAeY2PqmsgAcCj4n.jpg,TV,7.6,2021
"Dr. Quinn, Medicine Woman","Dr. Michaela Quinn journeys to Colorado Springs to be the town's physician after her father's death in 1868. Genres: Western, Drama.",https://image.tmdb.org/t/p/w500/rF32uo83bzezkEUQ8VGarbCJi32.jpg,TV,7.633,1993
Murder in the Mountains,"SOKO Kitzbühel is an Austrian television series produced by ORF and ZDF. It is a spin-off of the German crime series SOKO 5113. It is set in the renowned Tyrolean tourist centre of Kitzbühel. The production company ""beo-Film"" has produced the show since 2001. The German abbreviation SOKO stands for Sonderkommission, ""special commission"", a task force with specific duties. Genres: Crime.",https://image.tmdb.org/t/p/w500/ufi6NFLlPkFLhdbGbbMmj05Ezc3.jpg,TV,4.6,2001
Acacias 38,"Acacias 38, the address of a stately apartment building where our stories unfold, is set in 1899 and tells the story of a group of maids and the bourgeois families they serve, in a single block in a distinguished neighborhood of a large Spanish city. Two worlds colliding in a universe of crossed lives. Genres: Drama.",https://image.tmdb.org/t/p/w500/uApImWv5VMhXKvv543EvJlAN29O.jpg,TV,5.9,2015
Family Feud,"Two families compete against each other in a contest to name the most popular responses to a survey question posed to 100 people. Genres: Comedy, Reality.",https://image.tmdb.org/t/p/w500/2eY3KyYvvjg2jn2ifTGkwdipCAC.jpg,TV,7.5,1999
Balika Vadhu,"Balika Vadhu — Kachchi Umar Ke Pakke Rishte, commonly abbreviated as Balika Vadhu is an Indian television drama series that premiered on 21 July 2008 on Colors TV. Originally airing from Monday through Friday, from mid 2013 it also began airing on Saturday. Toral Rasputra became the lead after Pratyusha Banerjee left on 27 February 2013. Genres: Drama.",https://image.tmdb.org/t/p/w500/x0EBRwjgCj2fMc4V45z3s0CGAG7.jpg,TV,4.7,2008
